Address,Status,Price,Bed,Bath,Sqft
"3506 Patterson Ct, Fort Collins, CO 80526",For Sale,440000,3,2,"2,606"
"3131 Colony Dr, Fort Collins, CO 80526",For Sale,485000,4,3,"2,456"
"2524 Orchard Pl, Fort Collins, CO 80521",For Sale,475000,3,2,"1,277"
"2309 Forecastle Dr, Fort Collins, CO 80524",For Sale,500000,4,5,"2,046"
"4679 Palamino Ln, Fort Collins, CO 80524",Contingent,447000,3,2,"1,716"
"1819 Terrace Ct, Fort Collins, CO 80528",For Sale,465000,3,5,"1,470"
"3100 Birmingham Dr, Fort Collins, CO 80526",Contingent,500000,3,2,"1,632"
"1005 Meadowbrook Dr, Fort Collins, CO 80521",For Sale,475000,3,2,"1,339"
"654 Brandt Cir, Fort Collins, CO 80524",For Sale,165000,2,2,"1,316"
"2100 Winterstone Ct, Fort Collins, CO 80525",Pending,500000,3,5,"2,795"
"2262 Bar Harbor Dr, Fort Collins, CO 80524",Contingent,475000,2,2,"2,748"
"725 Boltz Dr, Fort Collins, CO 80525",For Sale,469900,4,2,"1,796"
"2250 Trestle Rd, Fort Collins, CO 80525",Contingent,475000,3,2,"1,853"
"736 Grouse Cir, Fort Collins, CO 80524",For Sale,465000,2,2,"1,060"
"2637 Wyandotte Dr, Fort Collins, CO 80526",For Sale,450000,3,2,"1,322"
"8406 Never Summer Cir, Fort Collins, CO 80528",Contingent,325000,3,2,"1,868"
"523 N Grant Ave, Fort Collins, CO 80521",Contingent,425000,1,1,799
"1028 E Prospect Rd, Fort Collins, CO 80525",Contingent,485000,6,2,"1,840"
"2328 Dalton Dr, Fort Collins, CO 80526",Contingent,445000,3,2,"1,877"
"719 Pear St, Fort Collins, CO 80521",Pending,459000,5,3,"2,160"
"3809 Bonneymoore Dr, Fort Collins, CO 80524",Contingent,425000,3,2,"1,330"
"630 Brewer Dr, Fort Collins, CO 80524",Contingent,495000,6,3,"2,330"
"3732 Glenloch Ct, Fort Collins, CO 80524",For Sale,399000,4,2,"1,248"
"2307 Sceap Ct, Fort Collins, CO 80526",Pending,490000,4,3,"2,152"
"510 Wood St, Fort Collins, CO 80521",Contingent,450000,2,1,945
"1962 Mackinac St, Fort Collins, CO 80524",Contingent,500000,3,5,"1,634"
"3512 Shilo Dr, Fort Collins, CO 80521",Pending,500000,3,2,"2,072"
"2511 Bison Rd, Fort Collins, CO 80525",Pending,450000,3,2,"2,486"
"1607 Barnwood Dr, Fort Collins, CO 80525",Contingent,495000,3,2,"1,395"
"300 Starboard Ct, Fort Collins, CO 80525",Contingent,475000,3,2,"1,408"
"3119 Killdeer Dr, Fort Collins, CO 80526",Contingent,485000,4,2,"1,612"
"711 Tracey Pkwy, Fort Collins, CO 80524",Contingent,360000,2,1,800
"1501 Glen Haven Dr, Fort Collins, CO 80526",Contingent,485000,4,2,"1,805"
"1112 Mathews St, Fort Collins, CO 80524",Contingent,430000,3,1,"1,619"
"1202 Niagara Dr Unit 20, Fort Collins, CO 80525",Contingent,400000,2,2,938
"1604 Wagon Tongue Ct, Fort Collins, CO 80521",For Sale,450000,3,5,"1,139"
"1871 Winamac Dr, Fort Collins, CO 80524",Pending,475000,3,5,"1,671"
"405 Tedmon Dr, Fort Collins, CO 80521",Pending,475000,3,2,"1,067"
"406 Towhee St, Fort Collins, CO 80526",Pending,500000,4,2,"1,624"
"624 Countryside Dr, Fort Collins, CO 80524",Contingent,379000,3,1,"1,074"
"3319 Liverpool St, Fort Collins, CO 80526",Pending,485000,3,2,"1,440"
"1229 S Bryan Ave, Fort Collins, CO 80521",Pending,489000,4,2,"1,628"
"908 Vitala Dr, Fort Collins, CO 80524",Contingent,217000,2,2,"1,561"
"409 Edwards St, Fort Collins, CO 80524",Contingent,440000,2,2,"1,002"
"100 Meadow Ln, Fort Collins, CO 80524",For Sale,359900,4,2,"1,546"
"429 N Grant Ave, Fort Collins, CO 80521",Contingent,500000,2,2,"1,322"
"1909 Churchill Ct, Fort Collins, CO 80526",Pending,455000,3,2,"1,512"
"955 Vitala Dr, Fort Collins, CO 80524",Contingent,225000,2,2,"1,556"
"425 Lyons St, Fort Collins, CO 80521",Contingent,500000,4,5,"2,153"
"6957 Rosemont Ct, Fort Collins, CO 80525",Pending,500000,4,5,"2,231"
"3809 Dalton Dr, Fort Collins, CO 80526",Contingent,449000,4,2,"1,968"
"106 S Loomis Ave, Fort Collins, CO 80521",Pending,465000,2,1,"1,437"
"4557 Joydance Ct, Fort Collins, CO 80524",For Sale,150000,2,2,"1,140"
"1138 Berwick Ct, Fort Collins, CO 80524",Contingent,400000,3,2,"1,128"
"842 Vitala Dr, Fort Collins, CO 80524",For Sale,143000,2,2,"1,167"
"3914 Rannoch St, Fort Collins, CO 80524",Pending,445000,3,5,"1,629"
"854 Pleasure Dr, Fort Collins, CO 80524",Contingent,139000,2,2,"1,167"
"938 Main St, Fort Collins, CO 80524",Contingent,345000,2,1,972
"604 Balsam Ln, Fort Collins, CO 80526",Contingent,469000,3,1,960
"2512 W Lake St, Fort Collins, CO 80521",Pending,415000,4,3,"1,543"
