School,Zip
United States Naval Academy,"['', '21402']"
University of Georgia,"['', '30602']"
Pennsylvania State University-Main Campus,"['', '16802']"
Virginia Polytechnic Institute and State University,"['', '24061']"
Clemson University,"['', '29634']"
University of Michigan-Ann Arbor,"['', '48109']"
The University of Texas at Austin,"['', '78701']"
University of Florida,"['', '32611']"
Miami University-Oxford,"['', '45042']"
Indiana University-Bloomington,"['', '46202']"
University of Maryland-College Park,"['', '21202', '20742']"
The University of Tennessee-Knoxville,"['', '27000', '37916']"
Michigan State University,"['', '48824']"
University of Connecticut,"['', '06269']"
Colorado School of Mines,"['', '80401']"
University of Puerto Rico-Rio Piedras,"['', '00931', '23315']"
Auburn University,"['', '36849']"
University of California-Berkeley,"['', '94720']"
Binghamton University,"['', '13850', '13902']"
University of California-Santa Barbara,"['', '93106']"
University of Utah,"['', '28000']"
University of Wisconsin-Madison,"['', '53715']"
University of Pittsburgh-Pittsburgh Campus,"['', '15213', '15260']"
James Madison University,"['', '22807']"
California Polytechnic State University-San Luis Obispo,"['', '93407']"
University of California-Davis,"['', '95616']"
Appalachian State University,"['', '28608', '32004']"
Arizona State University-Tempe,"['', '85287', '85281']"
Oklahoma State University-Main Campus,"['', '74078']"
University of California-Riverside,"['', '92521']"
Pennsylvania State University-Penn State Erie-Behrend College,"['', '16563']"
University of California-Los Angeles,"['', '90095', '10833']"
The University of Alabama,"['', '35487', '35401']"
University of Arkansas,"['', '72701']"
University of California-Irvine,"['', '92697', '95616']"
Arizona State University-West,"['', '85306']"
Georgia College & State University,"['', '51000']"
University of Maryland-Baltimore County,"['', '21201']"
University of Kentucky,"['', '40506']"
Rutgers University-New Brunswick,"['', '08901']"
Texas Tech University,"['', '38000']"
University of South Carolina-Columbia,"['', '29208']"
University of California-Santa Cruz,"['', '95064']"
University of Wyoming,"['', '14000', '82071']"
University of Central Florida,"['', '32816', '12585', '12851']"
University of Houston,"['', '75000']"
George Mason University,"['', '22030']"
Grand Valley State University,"['', '49401']"
Pennsylvania State University-Penn State Harrisburg,"['', '17057']"
Ohio State University-Main Campus,"['', '43210']"
University of Missouri-Columbia,"['', '65211', '65212']"
Temple University,"['', '19122']"
University of Iowa,"['', '52242']"
Georgia State University,"['', '51000', '30303', '26000']"
Florida Agricultural and Mechanical University,"['', '32307']"
Ball State University,"['', '92084']"
Florida International University,"['', '33131', '11200']"
University of Mississippi,"['', '24000']"
University of Vermont,"['', '05405', '04501']"
CUNY Bernard M Baruch College,"['', '10010']"
