Address,Status,Price,Bed,Bath,Sqft
"Abbey Court Fairfax Road & Redbank Road, BAKERSFIELD, CA 93307",For Sale,,4,5,"1,518"
"Trilogy at The Vineyards 1700 Trilogy Parkway, Brentwood, CA 94513",For Sale,,2,2,"1,841"
"Kindred Balfour 1890 Morello Drive, Brentwood, CA 94513",For Sale,,2,2,"1,868"
"Kindred Balfour 1890 Morello Drive, Brentwood, CA 94513",For Sale,,2,2,"1,622"
"Trilogy at The Vineyards 1700 Trilogy Parkway, Brentwood, CA 94513",For Sale,,2,2,"1,962"
"Abbey Court Fairfax Road & Redbank Road, BAKERSFIELD, CA 93307",For Sale,,4,2,"1,094"
"Trilogy at The Polo Club 51682 Hawthorne Court, Indio, CA 92201",For Sale,,2,2,"1,342"
"Trilogy at The Vineyards 1700 Trilogy Parkway, Brentwood, CA 94513",For Sale,,2,2,"1,520"
"1705 Padre St, Bakersfield, CA 93307",For Sale,100000,1,1,432
"21722 3rd St, Burney, CA 96013",For Sale,100000,1,1,576
"404 S 4th Ave, Avenal, CA 93204",For Sale,105000,2,1,884
"3080 E Carmen Ave, Fresno, CA 93703",For Sale,110000,2,1,700
"6912 Rio Vista Dr, Big River, CA 92242",Foreclosure,110000,3,2,"1,392"
"190 E Hamilton Ave, El Centro, CA 92243",Pending,110000,2,1,792
"6751 Mountain View Ave, Inyokern, CA 93527",For Sale,113997,3,1,957
"60 School Ave W, Porterville, CA 93257",For Sale,115000,1,5,240
"411 Jackson St, Taft, CA 93268",For Sale,115000,2,1,826
"109 Fair Dr, Herlong, CA 96130",For Sale,119000,2,1,770
"17 Kimmie Ln, Bangor, CA 95914",Pending,120000,1,1,678
"9391 California Ave Spc 31, Riverside, CA 92503",Pending,120000,2,2,"1,440"
"21332 S Valentine Ave, Riverdale, CA 93656",For Sale,120000,2,1,674
"801 Sansome St, Bakersfield, CA 93307",For Sale,120000,2,1,648
"304 E Santa Clara St, Avenal, CA 93204",For Sale,120000,3,1,912
"1421 Murdock St, Bakersfield, CA 93307",For Sale,125000,2,1,600
"820 25th St, Bakersfield, CA 93301",For Sale,125000,1,1,510
"29 Stetson Crk, Angelus Oaks, CA 92305",For Sale,125000,2,1,708
"375 California St, Weed, CA 96094",For Sale,129000,2,3,"4,000"
"17631 Palowalla Rd, Blythe, CA 92225",For Sale,129000,3,1,825
"33207 W El Progresso Ave, Cantua Creek, CA 93608",Foreclosure,130000,3,1,"1,008"
"100 S California St, Dorris, CA 96023",For Sale,133333,2,1,960
"221 Philippine St, Taft, CA 93268",For Sale,135000,2,1,710
"20419 Maple St, Burney, CA 96013",For Sale,135000,1,1,790
