School,Zip
College of William and Mary,College of William and Mary
United States Naval Academy,United States Naval Academy
United States Military Academy,United States Military Academy
University of Georgia,University of Georgia
Pennsylvania State University-Main Campus,Pennsylvania State University-Main Campus
University of North Carolina at Chapel Hill,University of North Carolina at Chapel Hill
North Carolina State University at Raleigh,North Carolina State University at Raleigh
Virginia Polytechnic Institute and State University,Virginia Polytechnic Institute and State University
Clemson University,Clemson University
University of Virginia-Main Campus,University of Virginia-Main Campus
University of Michigan-Ann Arbor,University of Michigan-Ann Arbor
The University of Texas at Austin,The University of Texas at Austin
Georgia Institute of Technology-Main Campus,Georgia Institute of Technology-Main Campus
University of Illinois at Urbana-Champaign,University of Illinois at Urbana-Champaign
University of Florida,University of Florida
University of Massachusetts-Amherst,University of Massachusetts-Amherst
University of Delaware,University of Delaware
College of William and Mary,College of William and Mary
United States Naval Academy,United States Naval Academy
United States Military Academy,United States Military Academy
University of Georgia,University of Georgia
Pennsylvania State University-Main Campus,Pennsylvania State University-Main Campus
University of North Carolina at Chapel Hill,University of North Carolina at Chapel Hill
North Carolina State University at Raleigh,North Carolina State University at Raleigh
Virginia Polytechnic Institute and State University,Virginia Polytechnic Institute and State University
Clemson University,Clemson University
University of Virginia-Main Campus,University of Virginia-Main Campus
University of Michigan-Ann Arbor,University of Michigan-Ann Arbor
The University of Texas at Austin,The University of Texas at Austin
Georgia Institute of Technology-Main Campus,Georgia Institute of Technology-Main Campus
University of Illinois at Urbana-Champaign,University of Illinois at Urbana-Champaign
University of Florida,University of Florida
University of Massachusetts-Amherst,University of Massachusetts-Amherst
University of Delaware,University of Delaware
Purdue University-Main Campus,Purdue University-Main Campus
Miami University-Oxford,Miami University-Oxford
Indiana University-Bloomington,Indiana University-Bloomington
University of Maryland-College Park,University of Maryland-College Park
The University of Tennessee-Knoxville,The University of Tennessee-Knoxville
University of Oklahoma-Norman Campus,University of Oklahoma-Norman Campus
Michigan State University,Michigan State University
University of Connecticut,University of Connecticut
Colorado School of Mines,Colorado School of Mines
University of Puerto Rico-Rio Piedras,University of Puerto Rico-Rio Piedras
Auburn University,Auburn University
University of Minnesota-Twin Cities,University of Minnesota-Twin Cities
University of California-Berkeley,University of California-Berkeley
Binghamton University,Binghamton University
Texas A & M University-College Station,Texas A & M University-College Station
University of California-Santa Barbara,University of California-Santa Barbara
Florida State University,Florida State University
University of Utah,University of Utah
University of Wisconsin-Madison,University of Wisconsin-Madison
University of Pittsburgh-Pittsburgh Campus,University of Pittsburgh-Pittsburgh Campus
Michigan Technological University,Michigan Technological University
James Madison University,James Madison University
California Polytechnic State University-San Luis Obispo,California Polytechnic State University-San Luis Obispo
Oregon State University,Oregon State University
University of California-Davis,University of California-Davis
Appalachian State University,Appalachian State University
University of Colorado Boulder,University of Colorado Boulder
University of Nebraska-Lincoln,University of Nebraska-Lincoln
Iowa State University,Iowa State University
Arizona State University-Tempe,Arizona State University-Tempe
Truman State University,Truman State University
University of California-San Diego,University of California-San Diego
University of Wisconsin-La Crosse,University of Wisconsin-La Crosse
University of Oregon,University of Oregon
Oklahoma State University-Main Campus,Oklahoma State University-Main Campus
University of California-Riverside,University of California-Riverside
Pennsylvania State University-Penn State Erie-Behrend College,Pennsylvania State University-Penn State Erie-Behrend College
University of California-Los Angeles,University of California-Los Angeles
Colorado State University-Fort Collins,Colorado State University-Fort Collins
The University of Alabama,The University of Alabama
University of Arkansas,University of Arkansas
University of California-Irvine,University of California-Irvine
Arizona State University-West,Arizona State University-West
United States Air Force Academy,United States Air Force Academy
University of Washington-Seattle Campus,University of Washington-Seattle Campus
Georgia College & State University,Georgia College & State University
University of Idaho,University of Idaho
University of Maryland-Baltimore County,University of Maryland-Baltimore County
Missouri University of Science and Technology,Missouri University of Science and Technology
University of Kentucky,University of Kentucky
Christopher Newport University,Christopher Newport University
Rutgers University-New Brunswick,Rutgers University-New Brunswick
Texas Tech University,Texas Tech University
University of South Carolina-Columbia,University of South Carolina-Columbia
Louisiana State University and Agricultural & Mechanical College,Louisiana State University and Agricultural & Mechanical College
The University of Texas at Dallas,The University of Texas at Dallas
New Jersey Institute of Technology,New Jersey Institute of Technology
University of California-Santa Cruz,University of California-Santa Cruz
The College of New Jersey,The College of New Jersey
University of Wyoming,University of Wyoming
University of Central Florida,University of Central Florida
University of Houston,University of Houston
University of South Florida-Main Campus,University of South Florida-Main Campus
George Mason University,George Mason University
Grand Valley State University,Grand Valley State University
University of Massachusetts-Lowell,University of Massachusetts-Lowell
University of North Carolina Wilmington,University of North Carolina Wilmington
University of Kansas,University of Kansas
Pennsylvania State University-Penn State Harrisburg,Pennsylvania State University-Penn State Harrisburg
University of Mary Washington,University of Mary Washington
SUNY College at Geneseo,SUNY College at Geneseo
Ohio State University-Main Campus,Ohio State University-Main Campus
University at Buffalo,University at Buffalo
University of Missouri-Columbia,University of Missouri-Columbia
University of New Hampshire-Main Campus,University of New Hampshire-Main Campus
New College of Florida,New College of Florida
Mississippi State University,Mississippi State University
Temple University,Temple University
University of Northern Iowa,University of Northern Iowa
Rutgers University-Newark,Rutgers University-Newark
University of Iowa,University of Iowa
Georgia State University,Georgia State University
Florida Agricultural and Mechanical University,Florida Agricultural and Mechanical University
Ball State University,Ball State University
Florida International University,Florida International University
